2018-12-31 03:32:05,511:max_episode: 5000, f_sampling: 1000, BayesBatch: 10000, lastlayer: 512, replay_start_size: 50000, sigma: 0.001, sigma_n: 1, annealing_end: 1000000.0, f_bayes_update: 1000, gamma2: 0.95, epsilon_min: 0.1, internal_skip_frame: 4, target_W_update: 10, rms_eps: 0.01, skip_frame: 4, lr: 0.0025, image_size: 84, replay_buffer_size: 500000, learning_frequency: 4, lambda_W: 0.1, Target_update: 10000, target_batch_size: 5000, alpha: 0.01, gamma1: 0.95, ctx: gpu(0), alpha_target: 1, batch_size: 32, gamma: 0.99, frame_len: 4
2018-12-31 11:13:12,149:BDQN:env:Centipede-v0,epis[600],durat[52],fnum=40143, cum_cl_rew = 55, cum_rew = 1649,tot_cl = 53 , tot = 1539
2018-12-31 11:15:14,717:BDQN:env:Centipede-v0,epis[700],durat[78],fnum=46686, cum_cl_rew = 54, cum_rew = 2358,tot_cl = 53 , tot = 1555
2018-12-31 11:16:16,586:annealing and laerning are started 
2018-12-31 11:17:52,439:BDQN:env:Centipede-v0,epis[800],durat[40],fnum=53239, cum_cl_rew = 52, cum_rew = 562,tot_cl = 54 , tot = 1539
2018-12-31 11:21:13,724:BDQN:env:Centipede-v0,epis[900],durat[77],fnum=60165, cum_cl_rew = 61, cum_rew = 2280,tot_cl = 55 , tot = 1644
2018-12-31 11:24:26,834:BDQN:env:Centipede-v0,epis[1000],durat[73],fnum=66802, cum_cl_rew = 64, cum_rew = 3212,tot_cl = 53 , tot = 1547
2018-12-31 11:27:40,646:BDQN:env:Centipede-v0,epis[1100],durat[99],fnum=73456, cum_cl_rew = 59, cum_rew = 1698,tot_cl = 54 , tot = 1519
2018-12-31 11:30:45,035:BDQN:env:Centipede-v0,epis[1200],durat[47],fnum=79874, cum_cl_rew = 41, cum_rew = 505,tot_cl = 54 , tot = 1429
2018-12-31 11:33:59,066:BDQN:env:Centipede-v0,epis[1300],durat[85],fnum=86549, cum_cl_rew = 61, cum_rew = 1990,tot_cl = 55 , tot = 1711
2018-12-31 11:37:15,391:BDQN:env:Centipede-v0,epis[1400],durat[79],fnum=93370, cum_cl_rew = 46, cum_rew = 1628,tot_cl = 54 , tot = 1686
2018-12-31 11:40:23,260:BDQN:env:Centipede-v0,epis[1500],durat[54],fnum=99875, cum_cl_rew = 54, cum_rew = 2132,tot_cl = 53 , tot = 1489
2018-12-31 11:43:42,075:BDQN:env:Centipede-v0,epis[1600],durat[73],fnum=106747, cum_cl_rew = 59, cum_rew = 2374,tot_cl = 55 , tot = 1608
2018-12-31 11:47:01,747:BDQN:env:Centipede-v0,epis[1700],durat[48],fnum=113705, cum_cl_rew = 57, cum_rew = 589,tot_cl = 55 , tot = 1813
2018-12-31 11:50:12,351:BDQN:env:Centipede-v0,epis[1800],durat[65],fnum=120303, cum_cl_rew = 63, cum_rew = 4653,tot_cl = 55 , tot = 1681
2018-12-31 11:53:15,254:BDQN:env:Centipede-v0,epis[1900],durat[65],fnum=126679, cum_cl_rew = 53, cum_rew = 573,tot_cl = 53 , tot = 1468
2018-12-31 11:56:26,597:BDQN:env:Centipede-v0,epis[2000],durat[92],fnum=133331, cum_cl_rew = 62, cum_rew = 3973,tot_cl = 55 , tot = 1590
2018-12-31 11:59:34,850:BDQN:env:Centipede-v0,epis[2100],durat[51],fnum=139871, cum_cl_rew = 57, cum_rew = 683,tot_cl = 53 , tot = 1450
2018-12-31 12:02:41,934:BDQN:env:Centipede-v0,epis[2200],durat[66],fnum=146465, cum_cl_rew = 56, cum_rew = 893,tot_cl = 54 , tot = 1670
2018-12-31 12:14:19,556:BDQN:env:Centipede-v0,epis[2300],durat[84],fnum=153654, cum_cl_rew = 68, cum_rew = 2492,tot_cl = 65 , tot = 2192
2018-12-31 12:17:48,947:BDQN:env:Centipede-v0,epis[2400],durat[70],fnum=161025, cum_cl_rew = 86, cum_rew = 3827,tot_cl = 81 , tot = 3314
2018-12-31 12:21:22,850:BDQN:env:Centipede-v0,epis[2500],durat[57],fnum=168491, cum_cl_rew = 80, cum_rew = 1729,tot_cl = 80 , tot = 3506
2018-12-31 12:24:55,474:BDQN:env:Centipede-v0,epis[2600],durat[80],fnum=175904, cum_cl_rew = 82, cum_rew = 3155,tot_cl = 83 , tot = 3680
2018-12-31 12:28:13,077:BDQN:env:Centipede-v0,epis[2700],durat[75],fnum=182859, cum_cl_rew = 70, cum_rew = 3686,tot_cl = 80 , tot = 3295
2018-12-31 12:31:26,629:BDQN:env:Centipede-v0,epis[2800],durat[58],fnum=189604, cum_cl_rew = 69, cum_rew = 1710,tot_cl = 79 , tot = 3148
2018-12-31 12:35:32,761:gamma: 0.99, Target_update: 10000, internal_skip_frame: 4, rms_eps: 0.01, learning_frequency: 4, target_W_update: 10, sigma: 0.001, batch_size: 32, target_batch_size: 5000, ctx: gpu(0), annealing_end: 1000000.0, gamma1: 0.95, sigma_n: 1, max_episode: 3000, lambda_W: 0.1, epsilon_min: 0.1, BayesBatch: 10000, gamma2: 0.95, image_size: 84, alpha: 0.01, frame_len: 4, replay_start_size: 50000, f_sampling: 1000, lr: 0.0025, replay_buffer_size: 500000, lastlayer: 512, f_bayes_update: 1000, skip_frame: 4, alpha_target: 1
2018-12-31 12:35:35,964:BDQN:env:Centipede-v0,epis[0],durat[63],fnum=62, cum_cl_rew = 59, cum_rew = 622,tot_cl = 0 , tot = 0
2018-12-31 12:37:38,066:BDQN:env:Centipede-v0,epis[100],durat[98],fnum=6796, cum_cl_rew = 58, cum_rew = 1674,tot_cl = 0 , tot = 0
2018-12-31 12:39:39,141:BDQN:env:Centipede-v0,epis[200],durat[77],fnum=13416, cum_cl_rew = 58, cum_rew = 1562,tot_cl = 54 , tot = 1519
